,country,org_type,flow_type,transaction_type,year,quarter,month,aggregate_type,variable,value,timeframe,measure
54331,Canada,Canada,Lower middle-income,Disbursements,2020,3,9,Specific donor,Proportion,0.342876213,Monthly,Country income
54341,Canada,Canada,Lower middle-income,Disbursements,2020,4,10,Specific donor,Proportion,0.351723421,Monthly,Country income
54351,Canada,Canada,Lower middle-income,Disbursements,2020,4,11,Specific donor,Proportion,0.383147126,Monthly,Country income
54361,Canada,Canada,Lower middle-income,Disbursements,2020,4,12,Specific donor,Proportion,0.439809044,Monthly,Country income
54611,Canada,Canada,Upper middle-income,Disbursements,2020,1,1,Specific donor,Proportion,0.275357737,Monthly,Country income
54621,Canada,Canada,Upper middle-income,Disbursements,2020,1,2,Specific donor,Proportion,0.195840919,Monthly,Country income
54631,Canada,Canada,Upper middle-income,Disbursements,2020,1,3,Specific donor,Proportion,0.225426807,Monthly,Country income
54641,Canada,Canada,Upper middle-income,Disbursements,2020,2,4,Specific donor,Proportion,0.261964844,Monthly,Country income
54651,Canada,Canada,Upper middle-income,Disbursements,2020,2,5,Specific donor,Proportion,0.042586303,Monthly,Country income
54661,Canada,Canada,Upper middle-income,Disbursements,2020,2,6,Specific donor,Proportion,0.211852043,Monthly,Country income
54671,Canada,Canada,Upper middle-income,Disbursements,2020,3,7,Specific donor,Proportion,0.291522207,Monthly,Country income
54681,Canada,Canada,Upper middle-income,Disbursements,2020,3,8,Specific donor,Proportion,0.194372751,Monthly,Country income
54691,Canada,Canada,Upper middle-income,Disbursements,2020,3,9,Specific donor,Proportion,0.251472219,Monthly,Country income
54701,Canada,Canada,Upper middle-income,Disbursements,2020,4,10,Specific donor,Proportion,0.195806513,Monthly,Country income
54711,Canada,Canada,Upper middle-income,Disbursements,2020,4,11,Specific donor,Proportion,0.069514716,Monthly,Country income
54721,Canada,Canada,Upper middle-income,Disbursements,2020,4,12,Specific donor,Proportion,0.104286545,Monthly,Country income
54971,Denmark,Denmark,High-income,Disbursements,2020,1,1,Specific donor,Proportion,0,Monthly,Country income
54981,Denmark,Denmark,High-income,Disbursements,2020,1,2,Specific donor,Proportion,-0.029860169,Monthly,Country income
54991,Denmark,Denmark,High-income,Disbursements,2020,1,3,Specific donor,Proportion,0,Monthly,Country income
55001,Denmark,Denmark,High-income,Disbursements,2020,2,4,Specific donor,Proportion,0,Monthly,Country income
55011,Denmark,Denmark,High-income,Disbursements,2020,2,5,Specific donor,Proportion,0,Monthly,Country income
55021,Denmark,Denmark,High-income,Disbursements,2020,2,6,Specific donor,Proportion,0,Monthly,Country income
55031,Denmark,Denmark,High-income,Disbursements,2020,3,7,Specific donor,Proportion,0.0489161,Monthly,Country income
55041,Denmark,Denmark,High-income,Disbursements,2020,3,8,Specific donor,Proportion,0,Monthly,Country income
55051,Denmark,Denmark,High-income,Disbursements,2020,3,9,Specific donor,Proportion,0,Monthly,Country income
55061,Denmark,Denmark,High-income,Disbursements,2020,4,10,Specific donor,Proportion,0,Monthly,Country income
55071,Denmark,Denmark,High-income,Disbursements,2020,4,11,Specific donor,Proportion,0,Monthly,Country income
55081,Denmark,Denmark,High-income,Disbursements,2020,4,12,Specific donor,Proportion,0,Monthly,Country income
55331,Denmark,Denmark,Low-income,Disbursements,2020,1,1,Specific donor,Proportion,0.371355036,Monthly,Country income
55341,Denmark,Denmark,Low-income,Disbursements,2020,1,2,Specific donor,Proportion,0.474685626,Monthly,Country income
55351,Denmark,Denmark,Low-income,Disbursements,2020,1,3,Specific donor,Proportion,0.333932251,Monthly,Country income
55361,Denmark,Denmark,Low-income,Disbursements,2020,2,4,Specific donor,Proportion,0.712777685,Monthly,Country income
55371,Denmark,Denmark,Low-income,Disbursements,2020,2,5,Specific donor,Proportion,0.689987989,Monthly,Country income
55381,Denmark,Denmark,Low-income,Disbursements,2020,2,6,Specific donor,Proportion,0.536730391,Monthly,Country income
55391,Denmark,Denmark,Low-income,Disbursements,2020,3,7,Specific donor,Proportion,0.805501898,Monthly,Country income
55401,Denmark,Denmark,Low-income,Disbursements,2020,3,8,Specific donor,Proportion,0.533649688,Monthly,Country income
55411,Denmark,Denmark,Low-income,Disbursements,2020,3,9,Specific donor,Proportion,0.49966351,Monthly,Country income
55421,Denmark,Denmark,Low-income,Disbursements,2020,4,10,Specific donor,Proportion,0.840030278,Monthly,Country income
55431,Denmark,Denmark,Low-income,Disbursements,2020,4,11,Specific donor,Proportion,0.570408516,Monthly,Country income
55441,Denmark,Denmark,Low-income,Disbursements,2020,4,12,Specific donor,Proportion,0.701966626,Monthly,Country income
55691,Denmark,Denmark,Lower middle-income,Disbursements,2020,1,1,Specific donor,Proportion,0.593017061,Monthly,Country income
55701,Denmark,Denmark,Lower middle-income,Disbursements,2020,1,2,Specific donor,Proportion,0.554016994,Monthly,Country income
55711,Denmark,Denmark,Lower middle-income,Disbursements,2020,1,3,Specific donor,Proportion,0.519542125,Monthly,Country income
55721,Denmark,Denmark,Lower middle-income,Disbursements,2020,2,4,Specific donor,Proportion,0.249068304,Monthly,Country income
55731,Denmark,Denmark,Lower middle-income,Disbursements,2020,2,5,Specific donor,Proportion,0.250082582,Monthly,Country income
55741,Denmark,Denmark,Lower middle-income,Disbursements,2020,2,6,Specific donor,Proportion,0.274110883,Monthly,Country income
55751,Denmark,Denmark,Lower middle-income,Disbursements,2020,3,7,Specific donor,Proportion,0.132764118,Monthly,Country income
55761,Denmark,Denmark,Lower middle-income,Disbursements,2020,3,8,Specific donor,Proportion,0.396399644,Monthly,Country income
55771,Denmark,Denmark,Lower middle-income,Disbursements,2020,3,9,Specific donor,Proportion,0.368736038,Monthly,Country income
55781,Denmark,Denmark,Lower middle-income,Disbursements,2020,4,10,Specific donor,Proportion,0.245413827,Monthly,Country income
55791,Denmark,Denmark,Lower middle-income,Disbursements,2020,4,11,Specific donor,Proportion,0.445802149,Monthly,Country income
55801,Denmark,Denmark,Lower middle-income,Disbursements,2020,4,12,Specific donor,Proportion,0.217752305,Monthly,Country income
56051,Denmark,Denmark,Upper middle-income,Disbursements,2020,1,1,Specific donor,Proportion,0.035627903,Monthly,Country income
56061,Denmark,Denmark,Upper middle-income,Disbursements,2020,1,2,Specific donor,Proportion,0.001157549,Monthly,Country income
56071,Denmark,Denmark,Upper middle-income,Disbursements,2020,1,3,Specific donor,Proportion,0.146525623,Monthly,Country income
56081,Denmark,Denmark,Upper middle-income,Disbursements,2020,2,4,Specific donor,Proportion,0.038154011,Monthly,Country income
56091,Denmark,Denmark,Upper middle-income,Disbursements,2020,2,5,Specific donor,Proportion,0.059929429,Monthly,Country income
56101,Denmark,Denmark,Upper middle-income,Disbursements,2020,2,6,Specific donor,Proportion,0.189158726,Monthly,Country income
56111,Denmark,Denmark,Upper middle-income,Disbursements,2020,3,7,Specific donor,Proportion,0.012817884,Monthly,Country income
56121,Denmark,Denmark,Upper middle-income,Disbursements,2020,3,8,Specific donor,Proportion,0.069950669,Monthly,Country income
56131,Denmark,Denmark,Upper middle-income,Disbursements,2020,3,9,Specific donor,Proportion,0.131600452,Monthly,Country income
56141,Denmark,Denmark,Upper middle-income,Disbursements,2020,4,10,Specific donor,Proportion,-0.085444105,Monthly,Country income
56151,Denmark,Denmark,Upper middle-income,Disbursements,2020,4,11,Specific donor,Proportion,-0.016210665,Monthly,Country income
56161,Denmark,Denmark,Upper middle-income,Disbursements,2020,4,12,Specific donor,Proportion,0.080281069,Monthly,Country income
56411,EC,EC,High-income,Disbursements,2020,1,1,Specific donor,Proportion,0.014059438,Monthly,Country income
56421,EC,EC,High-income,Disbursements,2020,1,2,Specific donor,Proportion,0.044027321,Monthly,Country income
56431,EC,EC,High-income,Disbursements,2020,1,3,Specific donor,Proportion,0.014051871,Monthly,Country income
56441,EC,EC,High-income,Disbursements,2020,2,4,Specific donor,Proportion,0.036571746,Monthly,Country income
56451,EC,EC,High-income,Disbursements,2020,2,5,Specific donor,Proportion,0.007125228,Monthly,Country income
56461,EC,EC,High-income,Disbursements,2020,2,6,Specific donor,Proportion,0.012110738,Monthly,Country income
56471,EC,EC,High-income,Disbursements,2020,3,7,Specific donor,Proportion,0.004014962,Monthly,Country income
56481,EC,EC,High-income,Disbursements,2020,3,8,Specific donor,Proportion,0.043605428,Monthly,Country income
56491,EC,EC,High-income,Disbursements,2020,3,9,Specific donor,Proportion,0.017408854,Monthly,Country income
56501,EC,EC,High-income,Disbursements,2020,4,10,Specific donor,Proportion,0.026136228,Monthly,Country income
56511,EC,EC,High-income,Disbursements,2020,4,11,Specific donor,Proportion,0.033885696,Monthly,Country income
56521,EC,EC,High-income,Disbursements,2020,4,12,Specific donor,Proportion,0.037156122,Monthly,Country income
56771,EC,EC,Low-income,Disbursements,2020,1,1,Specific donor,Proportion,0.377983486,Monthly,Country income
56781,EC,EC,Low-income,Disbursements,2020,1,2,Specific donor,Proportion,0.230239033,Monthly,Country income
56791,EC,EC,Low-income,Disbursements,2020,1,3,Specific donor,Proportion,0.234392925,Monthly,Country income
56801,EC,EC,Low-income,Disbursements,2020,2,4,Specific donor,Proportion,0.18769395,Monthly,Country income
56811,EC,EC,Low-income,Disbursements,2020,2,5,Specific donor,Proportion,0.241632903,Monthly,Country income
56821,EC,EC,Low-income,Disbursements,2020,2,6,Specific donor,Proportion,0.282756359,Monthly,Country income
56831,EC,EC,Low-income,Disbursements,2020,3,7,Specific donor,Proportion,0.366112178,Monthly,Country income
56841,EC,EC,Low-income,Disbursements,2020,3,8,Specific donor,Proportion,0.26447046,Monthly,Country income
56851,EC,EC,Low-income,Disbursements,2020,3,9,Specific donor,Proportion,0.297636615,Monthly,Country income
56861,EC,EC,Low-income,Disbursements,2020,4,10,Specific donor,Proportion,0.333416709,Monthly,Country income
56871,EC,EC,Low-income,Disbursements,2020,4,11,Specific donor,Proportion,0.23420384,Monthly,Country income
56881,EC,EC,Low-income,Disbursements,2020,4,12,Specific donor,Proportion,0.20107464,Monthly,Country income
57131,EC,EC,Lower middle-income,Disbursements,2020,1,1,Specific donor,Proportion,0.385120354,Monthly,Country income
57141,EC,EC,Lower middle-income,Disbursements,2020,1,2,Specific donor,Proportion,0.542518583,Monthly,Country income
57151,EC,EC,Lower middle-income,Disbursements,2020,1,3,Specific donor,Proportion,0.541083855,Monthly,Country income
57161,EC,EC,Lower middle-income,Disbursements,2020,2,4,Specific donor,Proportion,0.508700091,Monthly,Country income
57171,EC,EC,Lower middle-income,Disbursements,2020,2,5,Specific donor,Proportion,0.553634379,Monthly,Country income
57181,EC,EC,Lower middle-income,Disbursements,2020,2,6,Specific donor,Proportion,0.537806139,Monthly,Country income
57191,EC,EC,Lower middle-income,Disbursements,2020,3,7,Specific donor,Proportion,0.427104039,Monthly,Country income
57201,EC,EC,Lower middle-income,Disbursements,2020,3,8,Specific donor,Proportion,0.360660861,Monthly,Country income
57211,EC,EC,Lower middle-income,Disbursements,2020,3,9,Specific donor,Proportion,0.475378303,Monthly,Country income
57221,EC,EC,Lower middle-income,Disbursements,2020,4,10,Specific donor,Proportion,0.473116118,Monthly,Country income
57231,EC,EC,Lower middle-income,Disbursements,2020,4,11,Specific donor,Proportion,0.509864803,Monthly,Country income
57241,EC,EC,Lower middle-income,Disbursements,2020,4,12,Specific donor,Proportion,0.33856877,Monthly,Country income
57491,EC,EC,Upper middle-income,Disbursements,2020,1,1,Specific donor,Proportion,0.222836722,Monthly,Country income
57501,EC,EC,Upper middle-income,Disbursements,2020,1,2,Specific donor,Proportion,0.183215063,Monthly,Country income
57513,EC,EC,Upper middle-income,Disbursements,2020,1,3,Specific donor,Proportion,0.210471349,Monthly,Country income
57521,EC,EC,Upper middle-income,Disbursements,2020,2,4,Specific donor,Proportion,0.267034213,Monthly,Country income
57531,EC,EC,Upper middle-income,Disbursements,2020,2,5,Specific donor,Proportion,0.197607491,Monthly,Country income
57541,EC,EC,Upper middle-income,Disbursements,2020,2,6,Specific donor,Proportion,0.167326764,Monthly,Country income
57551,EC,EC,Upper middle-income,Disbursements,2020,3,7,Specific donor,Proportion,0.20276882,Monthly,Country income
57561,EC,EC,Upper middle-income,Disbursements,2020,3,8,Specific donor,Proportion,0.331263251,Monthly,Country income
57571,EC,EC,Upper middle-income,Disbursements,2020,3,9,Specific donor,Proportion,0.209576227,Monthly,Country income
57581,EC,EC,Upper middle-income,Disbursements,2020,4,10,Specific donor,Proportion,0.167330944,Monthly,Country income
57591,EC,EC,Upper middle-income,Disbursements,2020,4,11,Specific donor,Proportion,0.222045661,Monthly,Country income
57601,EC,EC,Upper middle-income,Disbursements,2020,4,12,Specific donor,Proportion,0.423200468,Monthly,Country income
57851,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,High-income,Disbursements,2020,1,1,Specific donor,Proportion,0.275808463,Monthly,Country income
57861,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,High-income,Disbursements,2020,1,2,Specific donor,Proportion,0,Monthly,Country income
57871,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,High-income,Disbursements,2020,1,3,Specific donor,Proportion,0,Monthly,Country income
57881,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,High-income,Disbursements,2020,2,4,Specific donor,Proportion,0.827424346,Monthly,Country income
57891,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,High-income,Disbursements,2020,2,5,Specific donor,Proportion,0.538659101,Monthly,Country income
57901,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,High-income,Disbursements,2020,2,6,Specific donor,Proportion,0,Monthly,Country income
57911,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,High-income,Disbursements,2020,3,7,Specific donor,Proportion,0.00015922,Monthly,Country income
57921,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,High-income,Disbursements,2020,3,8,Specific donor,Proportion,0.09522569,Monthly,Country income
57931,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,High-income,Disbursements,2020,3,9,Specific donor,Proportion,0.5147544,Monthly,Country income
57941,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,High-income,Disbursements,2020,4,10,Specific donor,Proportion,0.47977449,Monthly,Country income
57951,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,High-income,Disbursements,2020,4,11,Specific donor,Proportion,0.07939813,Monthly,Country income
57961,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,High-income,Disbursements,2020,4,12,Specific donor,Proportion,0.12979695,Monthly,Country income
58211,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Low-income,Disbursements,2020,1,1,Specific donor,Proportion,0,Monthly,Country income
58221,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Low-income,Disbursements,2020,1,2,Specific donor,Proportion,0.006730928,Monthly,Country income
58231,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Low-income,Disbursements,2020,1,3,Specific donor,Proportion,0.003669095,Monthly,Country income
58241,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Low-income,Disbursements,2020,2,4,Specific donor,Proportion,0.000128969,Monthly,Country income
58251,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Low-income,Disbursements,2020,2,5,Specific donor,Proportion,0,Monthly,Country income
58261,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Low-income,Disbursements,2020,2,6,Specific donor,Proportion,0.073280632,Monthly,Country income
58271,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Low-income,Disbursements,2020,3,7,Specific donor,Proportion,0,Monthly,Country income
58281,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Low-income,Disbursements,2020,3,8,Specific donor,Proportion,0.030577359,Monthly,Country income
58291,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Low-income,Disbursements,2020,3,9,Specific donor,Proportion,0.073186002,Monthly,Country income
58301,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Low-income,Disbursements,2020,4,10,Specific donor,Proportion,0.012722823,Monthly,Country income
58311,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Low-income,Disbursements,2020,4,11,Specific donor,Proportion,0.002599215,Monthly,Country income
58321,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Low-income,Disbursements,2020,4,12,Specific donor,Proportion,0.017539806,Monthly,Country income
58571,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Lower middle-income,Disbursements,2020,1,1,Specific donor,Proportion,0.000541066,Monthly,Country income
58581,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Lower middle-income,Disbursements,2020,1,2,Specific donor,Proportion,0.144573985,Monthly,Country income
58591,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Lower middle-income,Disbursements,2020,1,3,Specific donor,Proportion,0.561388427,Monthly,Country income
58601,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Lower middle-income,Disbursements,2020,2,4,Specific donor,Proportion,0.039566156,Monthly,Country income
58611,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Lower middle-income,Disbursements,2020,2,5,Specific donor,Proportion,0.054684058,Monthly,Country income
58621,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Lower middle-income,Disbursements,2020,2,6,Specific donor,Proportion,0.417874584,Monthly,Country income
58631,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Lower middle-income,Disbursements,2020,3,7,Specific donor,Proportion,0.85114523,Monthly,Country income
58641,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Lower middle-income,Disbursements,2020,3,8,Specific donor,Proportion,0.121574192,Monthly,Country income
58651,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Lower middle-income,Disbursements,2020,3,9,Specific donor,Proportion,0.122524951,Monthly,Country income
58661,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Lower middle-income,Disbursements,2020,4,10,Specific donor,Proportion,0.45117323,Monthly,Country income
58671,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Lower middle-income,Disbursements,2020,4,11,Specific donor,Proportion,0.696178152,Monthly,Country income
58681,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Lower middle-income,Disbursements,2020,4,12,Specific donor,Proportion,0.199786938,Monthly,Country income
58931,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Upper middle-income,Disbursements,2020,1,1,Specific donor,Proportion,0.723650471,Monthly,Country income
58941,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Upper middle-income,Disbursements,2020,1,2,Specific donor,Proportion,0.848695087,Monthly,Country income
58951,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Upper middle-income,Disbursements,2020,1,3,Specific donor,Proportion,0.434942478,Monthly,Country income
58961,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Upper middle-income,Disbursements,2020,2,4,Specific donor,Proportion,0.132880529,Monthly,Country income
58971,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Upper middle-income,Disbursements,2020,2,5,Specific donor,Proportion,0.40665684,Monthly,Country income
58981,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Upper middle-income,Disbursements,2020,2,6,Specific donor,Proportion,0.508844783,Monthly,Country income
58991,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Upper middle-income,Disbursements,2020,3,7,Specific donor,Proportion,0.14869555,Monthly,Country income
59001,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Upper middle-income,Disbursements,2020,3,8,Specific donor,Proportion,0.752622758,Monthly,Country income
59011,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Upper middle-income,Disbursements,2020,3,9,Specific donor,Proportion,0.289534647,Monthly,Country income
59021,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Upper middle-income,Disbursements,2020,4,10,Specific donor,Proportion,0.056329457,Monthly,Country income
59031,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Upper middle-income,Disbursements,2020,4,11,Specific donor,Proportion,0.221824503,Monthly,Country income
59041,European Bank for Reconstruction and Development,European Bank for Reconstruction and Development,Upper middle-income,Disbursements,2020,4,12,Specific donor,Proportion,0.652876306,Monthly,Country income
59291,Finland,Finland,High-income,Disbursements,2020,1,1,Specific donor,Proportion,0,Monthly,Country income
59301,Finland,Finland,High-income,Disbursements,2020,1,2,Specific donor,Proportion,0,Monthly,Country income
59311,Finland,Finland,High-income,Disbursements,2020,1,3,Specific donor,Proportion,0,Monthly,Country income
59321,Finland,Finland,High-income,Disbursements,2020,2,4,Specific donor,Proportion,0,Monthly,Country income
59331,Finland,Finland,High-income,Disbursements,2020,2,5,Specific donor,Proportion,0,Monthly,Country income
59341,Finland,Finland,High-income,Disbursements,2020,2,6,Specific donor,Proportion,0,Monthly,Country income
59351,Finland,Finland,High-income,Disbursements,2020,3,7,Specific donor,Proportion,0.031826862,Monthly,Country income
59361,Finland,Finland,High-income,Disbursements,2020,3,8,Specific donor,Proportion,0,Monthly,Country income
59371,Finland,Finland,High-income,Disbursements,2020,3,9,Specific donor,Proportion,0,Monthly,Country income
59381,Finland,Finland,High-income,Disbursements,2020,4,10,Specific donor,Proportion,0,Monthly,Country income
59391,Finland,Finland,High-income,Disbursements,2020,4,11,Specific donor,Proportion,0,Monthly,Country income
59401,Finland,Finland,High-income,Disbursements,2020,4,12,Specific donor,Proportion,0,Monthly,Country income
59651,Finland,Finland,Low-income,Disbursements,2020,1,1,Specific donor,Proportion,0,Monthly,Country income
59661,Finland,Finland,Low-income,Disbursements,2020,1,2,Specific donor,Proportion,0.429967427,Monthly,Country income
59671,Finland,Finland,Low-income,Disbursements,2020,1,3,Specific donor,Proportion,0.934090909,Monthly,Country income
59681,Finland,Finland,Low-income,Disbursements,2020,2,4,Specific donor,Proportion,0.80937615,Monthly,Country income
59691,Finland,Finland,Low-income,Disbursements,2020,2,5,Specific donor,Proportion,0.84502562,Monthly,Country income
59701,Finland,Finland,Low-income,Disbursements,2020,2,6,Specific donor,Proportion,0.387255873,Monthly,Country income
59711,Finland,Finland,Low-income,Disbursements,2020,3,7,Specific donor,Proportion,0.49543815,Monthly,Country income
59721,Finland,Finland,Low-income,Disbursements,2020,3,8,Specific donor,Proportion,0.741751536,Monthly,Country income
59731,Finland,Finland,Low-income,Disbursements,2020,3,9,Specific donor,Proportion,0.344470508,Monthly,Country income
59741,Finland,Finland,Low-income,Disbursements,2020,4,10,Specific donor,Proportion,0.220672916,Monthly,Country income
59751,Finland,Finland,Low-income,Disbursements,2020,4,11,Specific donor,Proportion,0.300182612,Monthly,Country income
59761,Finland,Finland,Low-income,Disbursements,2020,4,12,Specific donor,Proportion,0.402785985,Monthly,Country income
60011,Finland,Finland,Lower middle-income,Disbursements,2020,1,1,Specific donor,Proportion,1,Monthly,Country income
60021,Finland,Finland,Lower middle-income,Disbursements,2020,1,2,Specific donor,Proportion,0.570032573,Monthly,Country income
60031,Finland,Finland,Lower middle-income,Disbursements,2020,1,3,Specific donor,Proportion,0.065909091,Monthly,Country income
60041,Finland,Finland,Lower middle-income,Disbursements,2020,2,4,Specific donor,Proportion,0.186209071,Monthly,Country income
60051,Finland,Finland,Lower middle-income,Disbursements,2020,2,5,Specific donor,Proportion,0.136483119,Monthly,Country income
60061,Finland,Finland,Lower middle-income,Disbursements,2020,2,6,Specific donor,Proportion,0.606569122,Monthly,Country income
60071,Finland,Finland,Lower middle-income,Disbursements,2020,3,7,Specific donor,Proportion,0.259176745,Monthly,Country income
60081,Finland,Finland,Lower middle-income,Disbursements,2020,3,8,Specific donor,Proportion,0.258248464,Monthly,Country income
60091,Finland,Finland,Lower middle-income,Disbursements,2020,3,9,Specific donor,Proportion,0.535310917,Monthly,Country income
60101,Finland,Finland,Lower middle-income,Disbursements,2020,4,10,Specific donor,Proportion,0.442881942,Monthly,Country income
60111,Finland,Finland,Lower middle-income,Disbursements,2020,4,11,Specific donor,Proportion,0.688885887,Monthly,Country income
60121,Finland,Finland,Lower middle-income,Disbursements,2020,4,12,Specific donor,Proportion,0.512564947,Monthly,Country income
60371,Finland,Finland,Upper middle-income,Disbursements,2020,1,1,Specific donor,Proportion,0,Monthly,Country income
60381,Finland,Finland,Upper middle-income,Disbursements,2020,1,2,Specific donor,Proportion,0,Monthly,Country income
60391,Finland,Finland,Upper middle-income,Disbursements,2020,1,3,Specific donor,Proportion,0,Monthly,Country income
60401,Finland,Finland,Upper middle-income,Disbursements,2020,2,4,Specific donor,Proportion,0.004414779,Monthly,Country income
60411,Finland,Finland,Upper middle-income,Disbursements,2020,2,5,Specific donor,Proportion,0.018491261,Monthly,Country income
60421,Finland,Finland,Upper middle-income,Disbursements,2020,2,6,Specific donor,Proportion,0.006175006,Monthly,Country income
60431,Finland,Finland,Upper middle-income,Disbursements,2020,3,7,Specific donor,Proportion,0.213558243,Monthly,Country income
60441,Finland,Finland,Upper middle-income,Disbursements,2020,3,8,Specific donor,Proportion,0,Monthly,Country income
60451,Finland,Finland,Upper middle-income,Disbursements,2020,3,9,Specific donor,Proportion,0.120218575,Monthly,Country income
60461,Finland,Finland,Upper middle-income,Disbursements,2020,4,10,Specific donor,Proportion,0.336445142,Monthly,Country income
60471,Finland,Finland,Upper middle-income,Disbursements,2020,4,11,Specific donor,Proportion,0.0109315,Monthly,Country income
60481,Finland,Finland,Upper middle-income,Disbursements,2020,4,12,Specific donor,Proportion,0.084649068,Monthly,Country income
60731,Germany,Germany,High-income,Disbursements,2020,1,1,Specific donor,Proportion,4.27E-05,Monthly,Country income
60741,Germany,Germany,High-income,Disbursements,2020,1,2,Specific donor,Proportion,0.000459681,Monthly,Country income
60751,Germany,Germany,High-income,Disbursements,2020,1,3,Specific donor,Proportion,0.001170306,Monthly,Country income
60761,Germany,Germany,High-income,Disbursements,2020,2,4,Specific donor,Proportion,-0.000112526,Monthly,Country income
60771,Germany,Germany,High-income,Disbursements,2020,2,5,Specific donor,Proportion,0.002484496,Monthly,Country income
60781,Germany,Germany,High-income,Disbursements,2020,2,6,Specific donor,Proportion,0.000496035,Monthly,Country income
60791,Germany,Germany,High-income,Disbursements,2020,3,7,Specific donor,Proportion,0.000812366,Monthly,Country income
60801,Germany,Germany,High-income,Disbursements,2020,3,8,Specific donor,Proportion,0.002295491,Monthly,Country income
60811,Germany,Germany,High-income,Disbursements,2020,3,9,Specific donor,Proportion,0.000345979,Monthly,Country income
60821,Germany,Germany,High-income,Disbursements,2020,4,10,Specific donor,Proportion,0.001030346,Monthly,Country income
60831,Germany,Germany,High-income,Disbursements,2020,4,11,Specific donor,Proportion,0.001015943,Monthly,Country income
60841,Germany,Germany,High-income,Disbursements,2020,4,12,Specific donor,Proportion,0.000769647,Monthly,Country income
61091,Germany,Germany,Low-income,Disbursements,2020,1,1,Specific donor,Proportion,0.409651962,Monthly,Country income
61101,Germany,Germany,Low-income,Disbursements,2020,1,2,Specific donor,Proportion,0.455396052,Monthly,Country income
61113,Germany,Germany,Low-income,Disbursements,2020,1,3,Specific donor,Proportion,0.719213256,Monthly,Country income
61121,Germany,Germany,Low-income,Disbursements,2020,2,4,Specific donor,Proportion,0.565515472,Monthly,Country income
61131,Germany,Germany,Low-income,Disbursements,2020,2,5,Specific donor,Proportion,0.528361755,Monthly,Country income
61141,Germany,Germany,Low-income,Disbursements,2020,2,6,Specific donor,Proportion,0.672960284,Monthly,Country income
61151,Germany,Germany,Low-income,Disbursements,2020,3,7,Specific donor,Proportion,0.651741562,Monthly,Country income
61161,Germany,Germany,Low-income,Disbursements,2020,3,8,Specific donor,Proportion,0.701364462,Monthly,Country income
61171,Germany,Germany,Low-income,Disbursements,2020,3,9,Specific donor,Proportion,0.87513238,Monthly,Country income
61181,Germany,Germany,Low-income,Disbursements,2020,4,10,Specific donor,Proportion,0.679412221,Monthly,Country income
61191,Germany,Germany,Low-income,Disbursements,2020,4,11,Specific donor,Proportion,0.631526964,Monthly,Country income
